timestamp,fire_start_time,location,severity
2024-01-03 02:00:00,2024-01-03 01:53:00,"45.4325,-73.6485",low
2024-01-03 10:00:00,2024-01-03 09:29:00,"45.4663,-73.8617",high
2024-01-13 03:00:00,2024-01-13 02:04:00,"45.4049,-73.7351",medium
2024-01-18 07:00:00,2024-01-18 06:54:00,"45.4195,-73.5042",low
2024-01-29 11:00:00,2024-01-29 10:11:00,"45.4724,-73.8195",high
2024-02-07 23:00:00,2024-02-07 22:38:00,"45.4728,-73.8126",low
2024-02-13 14:00:00,2024-02-13 13:05:00,"45.4613,-73.8448",medium
2024-03-17 04:00:00,2024-03-17 03:58:00,"45.5248,-73.8093",medium
2024-03-17 08:00:00,2024-03-17 07:10:00,"45.6305,-73.4151",low
2024-03-29 08:00:00,2024-03-29 07:29:00,"45.3537,-73.4737",high
2024-04-04 05:00:00,2024-04-04 04:37:00,"45.5122,-73.6917",low
2024-04-04 20:00:00,2024-04-04 19:17:00,"45.4806,-73.8024",low
